name,country,subcountry,geonameid
Algorta,España,País Vasco,3130380
Algete,España,Madrid,3130383
Alcorcón,España,Madrid,3130564
Alcobendas,España,Madrid,3130583
Alcañiz,España,Aragón,3130606
Alcalá de Henares,España,Madrid,3130616
Nou Barris,España,Cataluña,6252065
Pinar de Chamartín,España,Madrid,6324376
Playa del Ingles,España,Canarias,6354969
Puerto del Carmen,España,Canarias,6355013
Ceuta,España,Ceuta,6362987
Moncloa-Aravaca,España,Madrid,6544099
Eixample,España,Cataluña,6544100
les Corts,España,Cataluña,6544101
Sarrià-Sant Gervasi,España,Cataluña,6544102
Horta-Guinardó,España,Cataluña,6544103
Sants-Montjuïc,España,Cataluña,6544104
Sant Martí,España,Cataluña,6544105
Ciutat Vella,España,Cataluña,6544106
Arganzuela,España,Madrid,6544487
San Blas,España,Madrid,6544488
Latina,España,Madrid,6544489
Usera,España,Madrid,6544490
Salamanca,España,Madrid,6544491
Chamberí,España,Madrid,6544492
Carabanchel,España,Madrid,6544493
City Center,España,Madrid,6544494
Retiro,España,Madrid,6544495
l'Alfàs del Pi,España,Valencia,6559503
Las Gabias,España,Andalucía,6559641
Delicias,España,Aragón,6615440
Almozara,España,Aragón,6615442
Montecanal,España,Aragón,6615443
Oliver-Valdefierro,España,Aragón,6615444
Santutxu,España,País Vasco,6618856
Los Realejos,España,Canarias,6692471
Pasaia,España,País Vasco,6693088
Basauri,España,País Vasco,6697039
Llefià,España,Cataluña,6943537
Corvera de Asturias,España,Asturias,7115111
Tres Cantos,España,Madrid,7577022
Iturrama,España,Navarre,8050879
Ermitagaña,España,Navarre,8050880
Primer Ensanche,España,Navarre,8050888
Segundo Ensanche,España,Navarre,8050889
Fuencarral-El Pardo,España,Madrid,8285534
Villa de Vallecas,España,Madrid,8285535
Natahoyo,España,Asturias,8629192
